Rank,Title,Year,Duration,Genre1,Genre2,Genre3,Rating,Votes,Director,Actor1,Actor2,Actor3,Actor4
83,Propaganda,1999,120,Comedy, Drama, History,7.1,9804,Sinan Çetin,Metin Akpinar,Kemal Sunal,Meltem Cumbul,Rafet El Roman
84,Häjyt,1999,105,Action, Crime, Drama,7.1,5100,Aleksi Mäkelä,Samuli Edelmann,Juha Veijonen,Teemu Lehtilä,Kalevi Haapoja
85,American Pie,1999,95,Comedy,,,7.0,415458,Paul Weitz,Chris Weitz,Jason Biggs,Chris Klein,Thomas Ian Nicholas
86,Mansfield Park,1999,112,Comedy, Drama, Romance,7.0,24829,Patricia Rozema,Frances O'Connor,Jonny Lee Miller,Alessandro Nivola,Hannah Taylor Gordon
87,The Thirteenth Floor,1999,100,Mystery, Sci-Fi, Thriller,7.0,74285,Josef Rusnak,Craig Bierko,Gretchen Mol,Armin Mueller-Stahl,Vincent D'Onofrio
88,The Wood,1999,106,Comedy, Drama, Romance,7.0,9771,Rick Famuyiwa,Elayn J. Taylor,Omar Epps,Richard T. Jones,Sean Nelson
89,The End of the Affair,1999,102,Drama, Romance,,7.0,23326,Neil Jordan,Ralph Fiennes,Julianne Moore,Stephen Rea,Heather-Jay Jones
90,An Affair of Love,1999,80,Drama, Romance,,7.0,5583,Frédéric Fonteyne,Nathalie Baye,Sergi López,Jacques Viala,Paul Pavel
91,Felicia's Journey,1999,116,Drama, Thriller,,7.0,8135,Atom Egoyan,Bob Hoskins,Arsinée Khanjian,Elaine Cassidy,Sheila Reid
92,Liberty Heights,1999,127,Comedy, Drama, Music,7.0,6865,Barry Levinson,Adrien Brody,Bebe Neuwirth,Joe Mantegna,Ben Foster
93,Limbo,1999,126,Adventure, Drama, Thriller,7.0,6178,John Sayles,David Strathairn,Mary Elizabeth Mastrantonio,Vanessa Martinez,Michael Laskin
94,With Fire and Sword,1999,175,Adventure, Drama, History,7.0,5125,Jerzy Hoffman,Izabella Scorupco,Michal Zebrowski,Aleksandr Domogarov,Jacek Rozenek
95,Bicentennial Man,1999,132,Drama, Sci-Fi,,6.9,120304,Chris Columbus,Robin Williams,Embeth Davidtz,Sam Neill,Oliver Platt
