Rank,Title,Year,Duration,Genre1,Genre2,Genre3,Rating,Votes,Director,Actor1,Actor2,Actor3,Actor4
35,Me and Earl and the Dying Girl,2015,105,Comedy, Drama, Romance,7.7,134208,Alfonso Gomez-Rejon,Thomas Mann,RJ Cyler,Olivia Cooke,Nick Offerman
36,Beasts of No Nation,2015,137,Drama, War,,7.7,83559,Cary Joji Fukunaga,Abraham Attah,Emmanuel Affadzi,Ricky Adelayitor,Andrew Adote
37,The Second Mother,2015,112,Comedy, Drama,,7.7,15749,Anna Muylaert,Regina Casé,Helena Albergaria,Michel Joelsas,Camila Márdila
38,Creed,2015,133,Action, Drama, Sport,7.6,293607,Ryan Coogler,Michael B. Jordan,Sylvester Stallone,Tessa Thompson,Phylicia Rashad
39,Sicario,2015,121,Action, Crime, Drama,7.6,442758,Denis Villeneuve,Emily Blunt,Josh Brolin,Benicio Del Toro,Jon Bernthal
40,Bridge of Spies,2015,142,Drama, History, Thriller,7.6,316821,Steven Spielberg,Tom Hanks,Mark Rylance,Alan Alda,Amy Ryan
41,Victoria,2015,138,Crime, Drama, Romance,7.6,60264,Sebastian Schipper,Laia Costa,Frederick Lau,Franz Rogowski,Burak Yigit
42,Mustang,2015,97,Drama,,,7.6,39604,Deniz Gamze Ergüven,Günes Sensoy,Doga Zeynep Doguslu,Tugba Sunguroglu,Elit Iscan
43,The Boy and the Beast,2015,119,Animation, Action, Adventure,7.6,25149,Mamoru Hosoda,Kôji Yakusho,Aoi Miyazaki,Shôta Sometani,Suzu Hirose
44,Piku,2015,123,Comedy, Drama,,7.6,32520,Shoojit Sircar,Deepika Padukone,Amitabh Bachchan,Irrfan Khan,Moushumi Chatterjee
45,Detective Byomkesh Bakshy!,2015,139,Action, Crime, Drama,7.6,23729,Dibakar Banerjee,Sushant Singh Rajput,Anand Tiwari,Neeraj Kabi,Divya Menon
46,Aferim!,2015,108,Adventure, Comedy, Drama,7.6,7475,Radu Jude,Teodor Corban,Mihai Comanoiu,Toma Cuzin,Alexandru Dabija
47,Bilal: A New Breed of Hero,2015,105,Animation, Action, Adventure,7.6,18862,Khurram H. Alavi,Ayman Jamal,Adewale Akinnuoye-Agbaje,Ian McShane,China Anne McClain
48,The Miracle,2015,136,Comedy, Drama,,7.6,13238,Mahsun Kirmizigül,Talat Bulut,Mert Turak,Mahsun Kirmizigül,Erdem Yener
49,Tanu Weds Manu Returns,2015,128,Comedy, Drama, Romance,7.6,29196,Aanand L. Rai,Kangana Ranaut,Madhavan,Jimmy Shergill,Deepak Dobriyal
50,Brooklyn,2015,117,Drama, Romance,,7.5,145168,John Crowley,Saoirse Ronan,Emory Cohen,Domhnall Gleeson,Jim Broadbent
51,Our Little Sister,2015,127,Drama, Family,,7.5,15720,Kore-eda Hirokazu,Haruka Ayase,Masami Nagasawa,Kaho,Suzu Hirose
52,Dum Laga Ke Haisha,2015,109,Comedy, Drama, Romance,7.5,20375,Sharat Katariya,Ayushmann Khurrana,Bhumi Pednekar,Sanjay Mishra,Seema Pahwa
53,Parched,2015,116,Drama,,,7.5,5579,Leena Yadav,Tannishtha Chatterjee,Radhika Apte,Surveen Chawla,Lehar Khan
54,Liza the Fox-Fairy,2015,98,Comedy, Fantasy, Romance,7.5,9298,Károly Ujj Mészáros,Mónika Balsai,Szabolcs Bede Fazekas,David Sakurai,Zoltán Schmied
55,Srimanthudu,2015,158,Action, Drama,,7.5,12873,Koratala Siva,Mahesh Babu,Shruti Haasan,Jagapathi Babu,Rajendra Prasad
56,Mission: Impossible - Rogue Nation,2015,131,Action, Adventure, Thriller,7.4,381688,Christopher McQuarrie,Tom Cruise,Rebecca Ferguson,Jeremy Renner,Simon Pegg
57,"McFarland, USA",2015,129,Biography, Drama, Sport,7.4,40111,Niki Caro,Kevin Costner,Maria Bello,Ramiro Rodriguez,Carlos Pratts
58,Remember,2015,94,Drama, Mystery, Thriller,7.4,26440,Atom Egoyan,Christopher Plummer,Kim Roberts,Amanda Smith,Martin Landau
59,Trumbo,2015,124,Biography, Drama,,7.4,82817,Jay Roach,Bryan Cranston,Diane Lane,Helen Mirren,Louis C.K.
60,Son of Saul,2015,107,Drama, War,,7.4,49956,László Nemes,Géza Röhrig,Levente Molnár,Urs Rechn,Todd Charmont
61,Suburra,2015,130,Crime, Drama, Thriller,7.4,20892,Stefano Sollima,Pierfrancesco Favino,Elio Germano,Claudio Amendola,Alessandro Borghi
62,Worlds Apart,2015,113,Drama, Romance,,7.4,8914,Christopher Papakaliatis,J.K. Simmons,Maria Kavoyianni,Andrea Osvárt,Christopher Papakaliatis
63,Holding the Man,2015,127,Biography, Drama, Romance,7.4,12887,Neil Armfield,Ryan Corr,Sarah Snook,Francesco Ferdinandi,Craig Stott
64,Regular Show: The Movie,2015,70,Animation, Action, Adventure,7.4,5216,J.G. Quintel,J.G. Quintel,William Salyers,Sam Marin,Mark Hamill
65,Badlapur,2015,134,Action, Crime, Drama,7.4,24676,Sriram Raghavan,Mehmet Tutkun,Varun Dhawan,Nawazuddin Siddiqui,Yami Gautam
66,Heidi,2015,111,Drama, Family,,7.4,6476,Alain Gsponer,Anuk Steffen,Anna Schinz,Lilian Naef,Bruno Ganz
67,Sweet Bean,2015,113,Drama,,,7.4,12002,Naomi Kawase,Kirin Kiki,Masatoshi Nagase,Kyara Uchida,Miki Mizuno
68,Virgin Mountain,2015,94,Drama,,,7.4,9287,Dagur Kári,Gunnar Jónsson,Ilmur Kristjánsdóttir,Sigurjón Kjartansson,Margrét Helga Jóhannsdóttir
69,I,2015,188,Action, Drama, Romance,7.4,22299,S. Shankar,Vikram,Amy Jackson,Suresh Gopi,Upen Patel
70,Temper,2015,147,Action, Crime, Drama,7.4,7210,Puri Jagannadh,N.T. Rama Rao Jr.,Kajal Aggarwal,Prakash Raj,Krishna Murali Posani
71,Limonata,2015,110,Comedy, Drama,,7.4,14008,Ali Atay,Ertan Saban,Serkan Keskin,Funda Eryigit,Luran Ahmeti
72,Telling Tales,2015,103,Comedy, Fantasy, Romance,7.4,16216,Burak Aksak,Hande Dogandemir,Fatih Artman,Cengiz Bozkurt,Sadi Celil Cengiz
73,OK Kanmani,2015,139,Romance,,,7.4,6306,Mani Ratnam,Dulquer Salmaan,Nithya Menen,Prakash Raj,Leela Samson
74,Avengers: Age of Ultron,2015,141,Action, Adventure, Sci-Fi,7.3,879577,Joss Whedon,Robert Downey Jr.,Chris Evans,Mark Ruffalo,Chris Hemsworth
75,Ant-Man,2015,117,Action, Comedy, Sci-Fi,7.3,687259,Peyton Reed,Paul Rudd,Michael Douglas,Corey Stoll,Evangeline Lilly
76,Southpaw,2015,124,Action, Crime, Drama,7.3,245381,Antoine Fuqua,Jake Gyllenhaal,Rachel McAdams,Oona Laurence,Forest Whitaker
77,Youth,2015,124,Comedy, Drama, Music,7.3,80474,Paolo Sorrentino,Michael Caine,Harvey Keitel,Rachel Weisz,Jane Fonda
78,Eddie the Eagle,2015,106,Adventure, Biography, Comedy,7.3,95899,Dexter Fletcher,Taron Egerton,Hugh Jackman,Tom Costello,Jo Hartley
79,Eye in the Sky,2015,102,Action, Drama, Thriller,7.3,88192,Gavin Hood,Helen Mirren,Aaron Paul,Alan Rickman,Barkhad Abdi
80,Woman in Gold,2015,109,Biography, Drama, History,7.3,60575,Simon Curtis,Helen Mirren,Ryan Reynolds,Daniel Brühl,Katie Holmes
81,The Walk,2015,123,Adventure, Biography, Drama,7.3,131059,Robert Zemeckis,Joseph Gordon-Levitt,Charlotte Le Bon,Guillaume Baillargeon,Émilie Leclerc
82,Little Boy,2015,106,Drama, History, War,7.3,23480,Alejandro Monteverde,Jakob Salvati,Emily Watson,David Henrie,Michael Rapaport
83,Tamasha,2015,139,Comedy, Drama, Romance,7.3,29108,Imtiaz Ali,Deepika Padukone,Ranbir Kapoor,Ishwak Singh,Piyush Mishra
84,Shaun the Sheep Movie,2015,85,Animation, Adventure, Comedy,7.3,41805,Mark Burton,Richard Starzak,Justin Fletcher,John Sparkes,Omid Djalili
85,The Beauty Inside,2015,127,Drama, Fantasy, Romance,7.3,7270,Jong-Yeol Baek,Han Hyo-joo,Park Seo-joon,Juri Ueno,Lee Jin-Wook
86,Muhammad: The Messenger of God,2015,162,Biography, Drama, History,7.3,11360,Majid Majidi,Mahdi Pakdel,Sareh Bayat,Mina Sadati,Ali Reza Shoja'noori
87,Palm Trees in the Snow,2015,163,Drama, Romance,,7.3,12100,Fernando González Molina,Mario Casas,Adriana Ugarte,Macarena García,Alain Hernández
88,Truman,2015,108,Adventure, Comedy, Drama,7.3,13445,Cesc Gay,Ricardo Darín,Javier Cámara,Dolores Fonzi,Troilo
89,The Anthem of the Heart,2015,119,Animation, Drama, Family,7.3,5975,Tatsuyuki Nagai,Inori Minase,Kôki Uchiyama,Sora Amamiya,Yoshimasa Hosoya
90,Taxi,2015,82,Comedy, Drama,,7.3,15848,Jafar Panahi,Jafar Panahi,Nasrin Sotoudeh,,
91,Pyaar Ka Punchnama 2,2015,137,Comedy, Drama, Romance,7.3,15597,Luv Ranjan,Kartik Aaryan,Omkar Kapoor,Sunny Singh,Nushrratt Bharuccha
92,Our Times,2015,134,Comedy, Romance,,7.3,5660,Yu Shan Chen,Vivian Sung,Talu Wang,Dino Lee,Dewi Chien
93,Yennai Arindhaal,2015,168,Action, Crime, Drama,7.3,9993,Gautham Vasudev Menon,Ajith Kumar,Arun Vijay,Trisha Krishnan,Anushka Shetty
94,The Age of Adaline,2015,112,Drama, Fantasy, Romance,7.2,188347,Lee Toland Krieger,Blake Lively,Michiel Huisman,Harrison Ford,Kathy Baker
95,The Man from U.N.C.L.E.,2015,116,Action, Adventure, Comedy,7.2,317798,Guy Ritchie,Henry Cavill,Armie Hammer,Alicia Vikander,Elizabeth Debicki
96,Carol,2015,118,Drama, Romance,,7.2,134304,Todd Haynes,Cate Blanchett,Rooney Mara,Sarah Paulson,Kyle Chandler
97,Steve Jobs,2015,122,Biography, Drama,,7.2,172580,Danny Boyle,Michael Fassbender,Kate Winslet,Seth Rogen,Jeff Daniels
98,Dope,2015,103,Adventure, Comedy, Crime,7.2,87223,Rick Famuyiwa,Shameik Moore,Tony Revolori,Kiersey Clemons,Kimberly Elise
99,Bajirao Mastani,2015,158,Action, Drama, History,7.2,36657,Sanjay Leela Bhansali,Ranveer Singh,Deepika Padukone,Priyanka Chopra Jonas,Tanvi Azmi
100,The Man Who Knew Infinity,2015,108,Biography, Drama,,7.2,59110,Matt Brown,Dev Patel,Jeremy Irons,Malcolm Sinclair,Raghuvir Joshi
101,Anomalisa,2015,90,Animation, Comedy, Drama,7.2,73308,Duke Johnson,Charlie Kaufman,David Thewlis,Jennifer Jason Leigh,Tom Noonan
102,The End of the Tour,2015,106,Biography, Drama,,7.2,31570,James Ponsoldt,Jason Segel,Jesse Eisenberg,Anna Chlumsky,Mamie Gummer
103,The Tiger,2015,139,Action, Adventure, Drama,7.2,5985,Park Hoon-jung,Kim Hong-pa,Park In-Soo,Man-sik Jeong,Seok-Won Jeong
104,Spare Parts,2015,114,Biography, Drama, History,7.2,11501,Sean McNamara,George Lopez,Jamie Lee Curtis,Carlos PenaVega,Marisa Tomei
105,Dheepan,2015,115,Crime, Drama,,7.2,16283,Jacques Audiard,Jesuthasan Antonythasan,Kalieaswari Srinivasan,Claudine Vinasithamby,Vincent Rottiers
106,Assassination,2015,140,Action, Drama, Thriller,7.2,7445,Dong-hoon Choi,Jun Ji-hyun,Lee Jung-jae,Ha Jung-woo,Dal-su Oh
107,"Dragon Ball Z: Resurrection ""F""",2015,93,Animation, Action, Adventure,7.2,22969,Tadayoshi Yamamuro,Masako Nozawa,Ryô Horikawa,Hiromi Tsuru,Masaharu Satô
108,The Club,2015,98,Drama, Mystery, Thriller,7.2,11442,Pablo Larraín,Alfredo Castro,Roberto Farías,Antonia Zegers,Marcelo Alonso
109,NH 10,2015,115,Action, Crime, Drama,7.2,13548,Navdeep Singh,Anushka Sharma,Neil Bhoopalam,Darshan Kumaar,Deepti Naval
110,Rams,2015,93,Drama,,,7.2,14742,Grímur Hákonarson,Sigurður Sigurjónsson,Theodór Júlíusson,Charlotte Bøving,Jón Benónýsson
111,April and the Extraordinary World,2015,105,Animation, Adventure, Comedy,7.2,8024,Christian Desmares,Franck Ekinci,Marion Cotillard,Marc-André Grondin,Philippe Katerine
112,The Lobster,2015,119,Drama, Romance, Sci-Fi,7.1,266975,Yorgos Lanthimos,Colin Farrell,Rachel Weisz,Jessica Barden,Olivia Colman
113,Furious 7,2015,137,Action, Crime, Thriller,7.1,396869,James Wan,Vin Diesel,Paul Walker,Dwayne Johnson,Jason Statham
114,The Intern,2015,121,Comedy, Drama,,7.1,258646,Nancy Meyers,Robert De Niro,Anne Hathaway,Rene Russo,Anders Holm
115,Bone Tomahawk,2015,132,Drama, Horror, Western,7.1,106475,S. Craig Zahler,Kurt Russell,Patrick Wilson,Matthew Fox,Richard Jenkins
116,The Danish Girl,2015,119,Biography, Crime, Drama,7.1,191262,Tom Hooper,Eddie Redmayne,Alicia Vikander,Amber Heard,Ben Whishaw
117,Everest,2015,121,Action, Adventure, Biography,7.1,222853,Baltasar Kormákur,Jason Clarke,Ang Phula Sherpa,Thomas M. Wright,Martin Henderson
118,Tangerine,2015,88,Comedy, Crime, Drama,7.1,33775,Sean Baker,Kitana Kiki Rodriguez,Mya Taylor,Karren Karagulian,Mickey O'Hagan
119,Far from the Madding Crowd,2015,119,Drama, Romance,,7.1,50887,Thomas Vinterberg,Carey Mulligan,Matthias Schoenaerts,Michael Sheen,Tom Sturridge
120,Concussion,2015,123,Biography, Drama, Sport,7.1,97407,Peter Landesman,Will Smith,Alec Baldwin,Albert Brooks,David Morse
121,My King,2015,124,Drama, Romance,,7.1,13435,Maïwenn,Vincent Cassel,Emmanuelle Bercot,Louis Garrel,Isild Le Besco
122,45 Years,2015,95,Drama, Romance,,7.1,33887,Andrew Haigh,Charlotte Rampling,Tom Courtenay,Geraldine James,Dolly Wells
123,The Brand New Testament,2015,114,Comedy, Fantasy,,7.1,33615,Jaco Van Dormael,Pili Groyne,Benoît Poelvoorde,Catherine Deneuve,François Damiens
124,Krisha,2015,83,Drama,,,7.1,9589,Trey Edward Shults,Krisha Fairchild,Alex Dobrenko,Robyn Fairchild,Chris Doubek
125,My All-American,2015,118,Biography, Drama, Sport,7.1,6923,Angelo Pizzo,Aaron Eckhart,Finn Wittrock,Robin Tunney,Sarah Bolger
126,James White,2015,85,Drama,,,7.1,6828,Josh Mond,Christopher Abbott,Cynthia Nixon,Kid Cudi,Ron Livingston
127,Gabbar Is Back,2015,128,Action, Crime, Drama,7.1,25686,Radha Krishna Jagarlamudi,Akshay Kumar,Shruti Haasan,Kareena Kapoor,Suman
128,The Fencer,2015,99,Biography, Drama, History,7.1,5089,Klaus Härö,Märt Avandi,Ursula Ratasepp,Hendrik Toompere Sr.,Liisa Koppel
129,The People Vs. Fritz Bauer,2015,105,Biography, Drama, Thriller,7.1,5927,Lars Kraume,Burghart Klaußner,Ronald Zehrfeld,Lilith Stangenberg,Jörg Schüttauf
130,MSG 2 the Messenger,2015,134,Action, Comedy, Drama,7.1,8527,Gurmeet Ram Rahim Singh,Muntazir Ahmad,Charanpreet Insan,Honeypreet Insan,RooheMeet Insan
131,Green Room,2015,95,Crime, Drama, Horror,7.0,130120,Jeremy Saulnier,Anton Yelchin,Imogen Poots,Alia Shawkat,Patrick Stewart
132,Spy,2015,120,Action, Comedy,,7.0,249287,Paul Feig,Melissa McCarthy,Rose Byrne,Jude Law,Jason Statham
133,The Gift,2015,108,Drama, Mystery, Thriller,7.0,163072,Joel Edgerton,Jason Bateman,Rebecca Hall,Joel Edgerton,Allison Tolman
134,Demolition,2015,101,Comedy, Drama,,7.0,103144,Jean-Marc Vallée,Jake Gyllenhaal,Naomi Watts,Chris Cooper,Judah Lewis
135,Colonia,2015,110,Biography, Drama, History,7.0,55221,Florian Gallenberger,Emma Watson,Daniel Brühl,Michael Nyqvist,Richenda Carey
136,The Dressmaker,2015,119,Comedy, Drama, Western,7.0,62700,Jocelyn Moorhouse,Kate Winslet,Judy Davis,Liam Hemsworth,Hugo Weaving
137,The Longest Ride,2015,123,Comedy, Drama, Romance,7.0,85251,George Tillman Jr.,Scott Eastwood,Britt Robertson,Alan Alda,Jack Huston
138,Ip Man 3,2015,105,Action, Biography, Drama,7.0,57378,Wilson Yip,Donnie Yen,Lynn Xiong,Jin Zhang,Mike Tyson
139,Look Who's Back,2015,116,Comedy, Drama, Fantasy,7.0,47076,David Wnendt,Oliver Masucci,Thomas M. Köppl,Marc-Marvin Israel,David Gebigke
140,Fathers & Daughters,2015,116,Drama,,,7.0,27571,Gabriele Muccino,Russell Crowe,Amanda Seyfried,Aaron Paul,Diane Kruger
141,The Peanuts Movie,2015,88,Animation, Adventure, Comedy,7.0,47533,Steve Martino,Noah Schnapp,Bill Melendez,Hadley Belle Miller,Francesca Capaldi
142,Dil Dhadakne Do,2015,170,Comedy, Drama, Romance,7.0,18557,Zoya Akhtar,Anil Kapoor,Shefali Shah,Priyanka Chopra Jonas,Ranveer Singh
143,Battle for Sevastopol,2015,110,Action, Biography, Drama,7.0,13070,Sergey Mokritskiy,Yuliya Peresild,Evgeniy Tsyganov,Oleg Vasilkov,Nikita Tarasov
144,Closet Monster,2015,90,Drama, Fantasy, Mystery,7.0,8855,Stephen Dunn,Aaron Abrams,Jack Fulton,Joanne Kelly,Isabella Rossellini
145,A Girl Like Her,2015,91,Drama,,,7.0,7209,Amy S. Weber,Lexi Ainsworth,Hunter King,Jimmy Bennett,Amy S. Weber
146,1944,2015,100,Drama, History, War,7.0,5929,Elmo Nüganen,Kaspar Velberg,Kristjan Üksküla,Maiken Pius,Gert Raudsep
147,Danny Collins,2015,106,Biography, Comedy, Drama,7.0,32311,Dan Fogelman,Al Pacino,Annette Bening,Jennifer Garner,Bobby Cannavale
148,The Admiral,2015,151,Action, Biography, Drama,7.0,10029,Roel Reiné,Frank Lammers,Sanne Langelaar,Barry Atsma,Lieke van Lexmond
149,They Call Me Jeeg,2015,112,Action, Comedy, Drama,7.0,15649,Gabriele Mainetti,Claudio Santamaria,Luca Marinelli,Ilenia Pastorelli,Stefano Ambrogi
150,13 Minutes,2015,114,Biography, Drama, War,7.0,9601,Oliver Hirschbiegel,Christian Friedel,Katharina Schüttler,Burghart Klaußner,Johann von Bülow
151,Veteran,2015,123,Action, Comedy, Crime,7.0,7103,Seung-wan Ryu,Hwang Jung-min,Yoo Ah-in,Hae-Jin Yoo,Dal-su Oh
152,A War,2015,115,Crime, Drama, Thriller,7.0,10879,Tobias Lindholm,Pilou Asbæk,Tuva Novotny,Søren Malling,Charlotte Munck
153,Hunterrr,2015,141,Comedy, Romance,,7.0,6496,Harshavardhan Kulkarni,Gulshan Devaiah,Radhika Apte,Sai Tamhankar,Veera Saxena
154,S/O Satyamurthy,2015,162,Action, Drama,,7.0,5906,Trivikram Srinivas,Allu Arjun,Upendra,Samantha Ruth Prabhu,Nithya Menen
155,The VVitch: A New-England Folktale,2015,92,Drama, Fantasy, Horror,6.9,273620,Robert Eggers,Anya Taylor-Joy,Ralph Ineson,Kate Dickie,Julian Richings
156,Jurassic World,2015,124,Action, Adventure, Sci-Fi,6.9,653828,Colin Trevorrow,Chris Pratt,Bryce Dallas Howard,Ty Simpkins,Judy Greer
157,Cinderella,2015,105,Adventure, Drama, Family,6.9,181424,Kenneth Branagh,Lily James,Cate Blanchett,Richard Madden,Helena Bonham Carter
158,Legend,2015,132,Biography, Crime, Drama,6.9,189387,Brian Helgeland,Tom Hardy,Emily Browning,Taron Egerton,Paul Anderson
159,Black Mass,2015,123,Biography, Crime, Drama,6.9,184881,Scott Cooper,Johnny Depp,Benedict Cumberbatch,Dakota Johnson,Joel Edgerton
160,In the Heart of the Sea,2015,122,Action, Adventure, Biography,6.9,142504,Ron Howard,Chris Hemsworth,Cillian Murphy,Brendan Gleeson,Ben Whishaw
161,Suffragette,2015,106,Drama, History,,6.9,43264,Sarah Gavron,Carey Mulligan,Anne-Marie Duff,Helena Bonham Carter,Meryl Streep
162,Slow West,2015,84,Action, Adventure, Drama,6.9,46489,John Maclean,Kodi Smit-McPhee,Caren Pistorius,Aorere Paki,Jeffrey Thomas
163,The 33,2015,127,Biography, Drama, History,6.9,38740,Patricia Riggen,Antonio Banderas,Rodrigo Santoro,Juliette Binoche,James Brolin
164,The Clan,2015,108,Biography, Crime, Drama,6.9,13724,Pablo Trapero,Guillermo Francella,Gastón Cocchiarale,Peter Lanzani,Stefanía Koessl
165,Mountains May Depart,2015,126,Drama, Romance,,6.9,6050,Zhangke Jia,Tao Zhao,Yi Zhang,Jing Dong Liang,Zijian Dong
166,Marguerite,2015,129,Comedy, Drama, Music,6.9,5533,Xavier Giannoli,Catherine Frot,André Marcon,Michel Fau,Christa Théret
167,Spectre,2015,148,Action, Adventure, Thriller,6.8,448914,Sam Mendes,Daniel Craig,Christoph Waltz,Léa Seydoux,Ralph Fiennes
168,Chappie,2015,120,Action, Crime, Drama,6.8,257867,Neill Blomkamp,Sharlto Copley,Dev Patel,Hugh Jackman,Sigourney Weaver
169,I Am Dragon,2015,110,Adventure, Fantasy, Romance,6.8,5721,Indar Dzhendubaev,Matvey Lykov,Mariya Poezzhaeva,Stanislav Lyubshin,Petr Romanov
170,The Stanford Prison Experiment,2015,122,Biography, Drama, History,6.8,44396,Kyle Patrick Alvarez,Ezra Miller,Tye Sheridan,Billy Crudup,Olivia Thirlby
171,Mr. Holmes,2015,104,Drama, Mystery,,6.8,65715,Bill Condon,Ian McKellen,Laura Linney,Hiroyuki Sanada,Hattie Morahan
172,The Diary of a Teenage Girl,2015,102,Comedy, Drama, Romance,6.8,32521,Marielle Heller,Bel Powley,Alexander Skarsgård,Kristen Wiig,Christopher Meloni
173,Man Up,2015,88,Comedy, Drama, Romance,6.8,54606,Ben Palmer,Lake Bell,Rory Kinnear,Ken Stott,Harriet Walter
174,Miss You Already,2015,112,Comedy, Drama, Romance,6.8,19353,Catherine Hardwicke,Drew Barrymore,Toni Collette,Dominic Cooper,Paddy Considine
175,Truth,2015,125,Biography, Drama, History,6.8,20656,James Vanderbilt,Cate Blanchett,Robert Redford,Dennis Quaid,Elisabeth Moss
176,A Perfect Day,2015,106,Comedy, Drama, War,6.8,22798,Fernando León de Aranoa,Benicio Del Toro,Tim Robbins,Olga Kurylenko,Mélanie Thierry
177,Born to Be Blue,2015,97,Biography, Drama, Music,6.8,8966,Robert Budreau,Ethan Hawke,Carmen Ejogo,Callum Keith Rennie,Tony Nappo
178,Cemetery of Splendor,2015,122,Drama, Fantasy, Mystery,6.8,5080,Apichatpong Weerasethakul,Jenjira Pongpas,Banlop Lomnoi,Jarinpattra Rueangram,Petcharat Chaiburi
179,People Places Things,2015,85,Comedy, Romance,,6.8,10797,Jim Strouse,Jemaine Clement,Regina Hall,Jessica Williams,Stephanie Allynne
180,I Am a Hero,2015,126,Action, Comedy, Horror,6.8,7264,Shinsuke Sato,Yô Ôizumi,Kasumi Arimura,Masami Nagasawa,Hisashi Yoshizawa
181,The Measure of a Man,2015,91,Drama,,,6.8,6507,Stéphane Brizé,Vincent Lindon,Karine de Mirbeck,Matthieu Schaller,Yves Ory
182,Mia madre,2015,106,Drama,,,6.8,7545,Nanni Moretti,Margherita Buy,John Turturro,Giulia Lazzarini,Nanni Moretti
183,The Good Dinosaur,2015,93,Animation, Adventure, Comedy,6.7,119739,Peter Sohn,Jeffrey Wright,Frances McDormand,Maleah Nipay-Padilla,Ryan Teeple
184,No Escape,2015,103,Action, Thriller,,6.7,88659,John Erick Dowdle,Lake Bell,Pierce Brosnan,Owen Wilson,Thanawut Ketsaro
185,Hardcore Henry,2015,96,Action, Adventure, Sci-Fi,6.7,98149,Ilya Naishuller,Sharlto Copley,Tim Roth,Haley Bennett,Danila Kozlovskiy
186,Mistress America,2015,84,Comedy, Drama,,6.7,27688,Noah Baumbach,Greta Gerwig,Lola Kirke,Shana Dowdeswell,Shelby Rebecca Wong
187,The Lady in the Van,2015,104,Biography, Comedy, Drama,6.7,30288,Nicholas Hytner,Maggie Smith,Alex Jennings,Jim Broadbent,Clare Hammond
188,Summertime,2015,105,Drama, Romance,,6.7,5304,Catherine Corsini,Cécile de France,Izïa Higelin,Noémie Lvovsky,Jean-Henri Compère
189,I'll See You in My Dreams,2015,92,Comedy, Drama, Romance,6.7,7712,Brett Haley,Blythe Danner,Martin Starr,Sam Elliott,Malin Akerman
190,Turbo Kid,2015,93,Action, Adventure, Comedy,6.7,28768,François Simard,Anouk Whissell,Yoann-Karl Whissell,Munro Chambers,Laurence Leboeuf
191,Men & Chicken,2015,104,Comedy, Drama, Mystery,6.7,13658,Anders Thomas Jensen,David Dencik,Mads Mikkelsen,Nikolaj Lie Kaas,Søren Malling
192,Kill Zone 2,2015,120,Action, Adventure, Crime,6.7,6986,Soi Cheang,Tony Jaa,Jing Wu,Simon Yam,Jin Zhang
193,Grandma,2015,79,Comedy, Drama,,6.7,16286,Paul Weitz,Lily Tomlin,Julia Garner,Marcia Gay Harden,Judy Greer
194,Fourth Man Out,2015,86,Comedy, Drama,,6.7,10543,Andrew Nackman,Parker Young,Evan Todd,Chord Overstreet,Jon Gabrus
195,Hamari Adhuri Kahani,2015,129,Drama, Romance,,6.7,6412,Mohit Suri,Emraan Hashmi,Vidya Balan,Rajkummar Rao,Sara Khan
196,Delibal,2015,117,Drama, Romance,,6.7,11549,Ali Bilgin,Çagatay Ulusoy,Leyla Lydia Tugutlu,Hüseyin Avni Danyal,Mustafa Avkiran
197,The Ardennes,2015,96,Crime, Drama, Thriller,6.7,5362,Robin Pront,Kevin Janssens,Jeroen Perceval,Veerle Baetens,Jan Bijvoet
198,Shamitabh,2015,155,Drama,,,6.7,7681,R. Balki,Amitabh Bachchan,Dhanush,Akshara Haasan,Abhinaya
199,Kara Bela,2015,105,Action, Adventure, Comedy,6.7,9301,Burak Aksak,Cengiz Bozkurt,Seda Bakan,Erkan Kolçak Köstendil,Cihan Ercan
200,Burnt,2015,101,Comedy, Drama,,6.6,124521,John Wells,Bradley Cooper,Sienna Miller,Daniel Brühl,Riccardo Scamarcio
201,Home,2015,94,Animation, Adventure, Comedy,6.6,105805,Tim Johnson,Jim Parsons,Rihanna,Steve Martin,Jennifer Lopez
202,Joy,2015,124,Biography, Drama,,6.6,139715,David O. Russell,Jennifer Lawrence,Robert De Niro,Bradley Cooper,Edgar Ramírez
203,Focus,2015,105,Comedy, Crime, Drama,6.6,256950,Glenn Ficarra,John Requa,Will Smith,Margot Robbie,Rodrigo Santoro
204,Hotel Transylvania 2,2015,89,Animation, Adventure, Comedy,6.6,132808,Genndy Tartakovsky,Adam Sandler,Andy Samberg,Selena Gomez,Kevin James
205,The Invitation,2015,100,Drama, Horror, Mystery,6.6,113178,Karyn Kusama,Logan Marshall-Green,Emayatzy Corinealdi,Michiel Huisman,Tammy Blanchard
206,Macbeth,2015,113,Drama, History, War,6.6,57979,Justin Kurzel,Michael Fassbender,Marion Cotillard,Jack Madigan,Frank Madigan
207,The Wedding Ringer,2015,101,Comedy,,,6.6,77612,Jeremy Garelick,Kevin Hart,Josh Gad,Kaley Cuoco,Affion Crockett
208,The Wave,2015,105,Action, Drama, Thriller,6.6,40048,Roar Uthaug,Kristoffer Joner,Ane Dahl Torp,Jonas Hoff Oftebro,Edith Haagenrud-Sande
209,Run All Night,2015,114,Action, Crime, Thriller,6.6,111362,Jaume Collet-Serra,Liam Neeson,Ed Harris,Joel Kinnaman,Vincent D'Onofrio
210,Irrational Man,2015,95,Comedy, Crime, Drama,6.6,64735,Woody Allen,Joaquin Phoenix,Emma Stone,Parker Posey,Joe Stapleton
