Ranking,IMDByear,IMDBlink,Title,RunTime,Genre,Rating,Score,Votes,Gross,Director,Cast1,Cast2,Cast3,Cast4
129,1998,https://www.imdb.com/title/tt0131857/?ref_=adv_li_tt,BASEketball,103,"Comedy, Sport",6.5,38.0,63759,6.94M,David Zucker,Trey Parker,Matt Stone,Dian Bachar,Yasmine Bleeth
130,1998,https://www.imdb.com/title/tt0120744/?ref_=adv_li_tt,The Man in the Iron Mask,132,"Action, Adventure, Drama",6.5,48.0,171764,56.97M,Randall Wallace,Leonardo DiCaprio,Jeremy Irons,John Malkovich,Gérard Depardieu
131,1998,https://www.imdb.com/title/tt0120873/?ref_=adv_li_tt,U.S. Marshals,131,"Action, Crime, Thriller",6.5,47.0,108845,57.17M,Stuart Baird,Tommy Lee Jones,Wesley Snipes,Robert Downey Jr.,Joe Pantoliano
132,1998,https://www.imdb.com/title/tt0120587/?ref_=adv_li_tt,Antz,83,"Animation, Adventure, Comedy",6.5,72.0,158691,90.76M,Eric Darnell,Tim Johnson,Woody Allen,Sharon Stone,Gene Hackman
133,1998,https://www.imdb.com/title/tt0125454/?ref_=adv_li_tt,Paulie,91,"Adventure, Comedy, Drama",6.5,,15691,27.01M,John Roberts,Gena Rowlands,Tony Shalhoub,Cheech Marin,Bruce Davison
134,1998,https://www.imdb.com/title/tt0127722/?ref_=adv_li_tt,Another Day in Paradise,101,"Crime, Drama, Thriller",6.5,,8927,1.03M,Larry Clark,James Woods,Melanie Griffith,Vincent Kartheiser,Natasha Gregson Wagner
135,1998,https://www.imdb.com/title/tt0120823/?ref_=adv_li_tt,The Impostors,101,Comedy,6.5,,5258,2.20M,Stanley Tucci,Oliver Platt,Stanley Tucci,Walker Jones,Jessica Walling
136,1998,https://www.imdb.com/title/tt0120844/?ref_=adv_li_tt,Star Trek: Insurrection,103,"Action, Adventure, Sci-Fi",6.4,64.0,76925,70.12M,Jonathan Frakes,Patrick Stewart,Jonathan Frakes,Brent Spiner,LeVar Burton
137,1998,https://www.imdb.com/title/tt0133952/?ref_=adv_li_tt,The Siege,116,"Action, Thriller",6.4,53.0,75002,40.98M,Edward Zwick,Denzel Washington,Bruce Willis,Annette Bening,Tony Shalhoub
138,1998,https://www.imdb.com/title/tt0120654/?ref_=adv_li_tt,Dirty Work,82,Comedy,6.4,24.0,28607,9.98M,Bob Saget,Norm MacDonald,Jack Warden,Artie Lange,Traylor Howard
139,1998,https://www.imdb.com/title/tt0120777/?ref_=adv_li_tt,The Opposite of Sex,105,"Comedy, Drama, Romance",6.4,70.0,21426,5.88M,Don Roos,Christina Ricci,Martin Donovan,Lisa Kudrow,Lyle Lovett
140,1998,https://www.imdb.com/title/tt0118736/?ref_=adv_li_tt,Six-String Samurai,91,"Action, Adventure, Comedy",6.4,,7703,0.12M,Lance Mungia,Jeffrey Falcon,Justin McGuire,Kim De Angelo,Stephane Gauger
141,1998,https://www.imdb.com/title/tt0120773/?ref_=adv_li_tt,The Odd Couple II,97,"Adventure, Comedy",6.4,,10358,18.91M,Howard Deutch,Jack Lemmon,Walter Matthau,Richard Riehle,Jonathan Silverman
142,1998,https://www.imdb.com/title/tt0120791/?ref_=adv_li_tt,Practical Magic,104,"Comedy, Drama, Fantasy",6.3,46.0,86040,46.68M,Griffin Dunne,Sandra Bullock,Nicole Kidman,Stockard Channing,Dianne Wiest
143,1998,https://www.imdb.com/title/tt0124198/?ref_=adv_li_tt,Very Bad Things,100,"Comedy, Crime, Thriller",6.3,31.0,47920,9.80M,Peter Berg,Christian Slater,Daniel Stern,Cameron Diaz,Jon Favreau
