Ranking,IMDByear,IMDBlink,Title,RunTime,Genre,Rating,Score,Votes,Gross,Director,Cast1,Cast2,Cast3,Cast4
121,1996,https://www.imdb.com/title/tt0117979/?ref_=adv_li_tt,The Truth About Cats & Dogs,97,"Comedy, Romance",6.3,64.0,28509,34.07M,Michael Lehmann,Uma Thurman,Janeane Garofalo,Ben Chaplin,Jamie Foxx
122,1996,https://www.imdb.com/title/tt0116745/?ref_=adv_li_tt,Kansas City,116,"Crime, Drama, Music",6.3,57.0,5138,1.35M,Robert Altman,Jennifer Jason Leigh,Miranda Richardson,Harry Belafonte,Michael Murphy
123,1996,https://www.imdb.com/title/tt0116287/?ref_=adv_li_tt,Fear,97,"Drama, Thriller",6.2,51.0,50739,20.75M,James Foley,Mark Wahlberg,Reese Witherspoon,William Petersen,Amy Brenneman
124,1996,https://www.imdb.com/title/tt0116213/?ref_=adv_li_tt,Eraser,115,"Action, Crime, Thriller",6.2,56.0,114400,101.30M,Chuck Russell,Arnold Schwarzenegger,Vanessa Williams,James Caan,James Coburn
125,1996,https://www.imdb.com/title/tt0115571/?ref_=adv_li_tt,The Arrival,115,"Mystery, Sci-Fi, Thriller",6.2,56.0,36307,14.05M,David Twohy,Charlie Sheen,Lindsay Crouse,Richard Schiff,Shane
126,1996,https://www.imdb.com/title/tt0115697/?ref_=adv_li_tt,Black Sheep,87,Comedy,6.2,34.0,42124,32.38M,Penelope Spheeris,Chris Farley,David Spade,Tim Matheson,Christine Ebersole
127,1996,https://www.imdb.com/title/tt0117364/?ref_=adv_li_tt,The Portrait of a Lady,144,"Drama, Romance",6.2,60.0,12255,3.69M,Jane Campion,Nicole Kidman,John Malkovich,Barbara Hershey,Martin Donovan
128,1996,https://www.imdb.com/title/tt0117104/?ref_=adv_li_tt,Mrs. Winterbourne,105,"Comedy, Drama, Romance",6.2,35.0,8167,10.07M,Richard Benjamin,Shirley MacLaine,Ricki Lake,Brendan Fraser,Miguel Sandoval
129,1996,https://www.imdb.com/title/tt0115907/?ref_=adv_li_tt,City Hall,111,"Crime, Drama, Mystery",6.2,62.0,21466,20.20M,Harold Becker,Al Pacino,John Cusack,Bridget Fonda,Danny Aiello
130,1996,https://www.imdb.com/title/tt0116259/?ref_=adv_li_tt,Extreme Measures,118,"Crime, Drama, Mystery",6.2,56.0,20035,17.31M,Michael Apted,Hugh Grant,Gene Hackman,Sarah Jessica Parker,David Morse
131,1996,https://www.imdb.com/title/tt0115798/?ref_=adv_li_tt,The Cable Guy,96,"Comedy, Drama, Thriller",6.1,56.0,169900,60.24M,Ben Stiller,Jim Carrey,Matthew Broderick,Leslie Mann,Jack Black
132,1996,https://www.imdb.com/title/tt0115759/?ref_=adv_li_tt,Broken Arrow,108,"Action, Adventure, Thriller",6.1,61.0,101503,70.77M,John Woo,John Travolta,Christian Slater,Samantha Mathis,Delroy Lindo
133,1996,https://www.imdb.com/title/tt0116260/?ref_=adv_li_tt,Eye for an Eye,101,"Crime, Drama, Thriller",6.1,25.0,17829,26.79M,John Schlesinger,Sally Field,Kiefer Sutherland,Ed Harris,Olivia Burnette
134,1996,https://www.imdb.com/title/tt0116130/?ref_=adv_li_tt,Down Periscope,92,Comedy,6.1,39.0,25500,25.79M,David S. Ward,Kelsey Grammer,Lauren Holly,Rob Schneider,Harry Dean Stanton
135,1996,https://www.imdb.com/title/tt0117108/?ref_=adv_li_tt,Multiplicity,117,"Comedy, Romance, Sci-Fi",6.1,53.0,33821,20.10M,Harold Ramis,Michael Keaton,Andie MacDowell,Zack Duhame,Katie Schlossberg
136,1996,https://www.imdb.com/title/tt0118055/?ref_=adv_li_tt,Up Close & Personal,124,"Drama, Romance",6.1,,14889,51.09M,Jon Avnet,Robert Redford,Michelle Pfeiffer,Stockard Channing,Joe Mantegna
137,1996,https://www.imdb.com/title/tt0116353/?ref_=adv_li_tt,Foxfire,102,"Drama, Romance",6.1,,9493,0.26M,Annette Haywood-Carter,Hedy Burress,Angelina Jolie,Jenny Lewis,Jenny Shimizu
138,1996,https://www.imdb.com/title/tt0115645/?ref_=adv_li_tt,Before and After,108,"Crime, Drama, Mystery",6.1,,9527,8.80M,Barbet Schroeder,Meryl Streep,Liam Neeson,Edward Furlong,Julia Weldon
139,1996,https://www.imdb.com/title/tt0115495/?ref_=adv_li_tt,Albino Alligator,94,"Crime, Drama, Thriller",6.1,48.0,8310,0.33M,Kevin Spacey,Matt Dillon,Faye Dunaway,Gary Sinise,William Fichtner
140,1996,https://www.imdb.com/title/tt0115580/?ref_=adv_li_tt,The Associate,114,Comedy,6.1,,8757,12.77M,Donald Petrie,Whoopi Goldberg,Dianne Wiest,Eli Wallach,Tim Daly
141,1996,https://www.imdb.com/title/tt0116743/?ref_=adv_li_tt,Kama Sutra: A Tale of Love,114,"Crime, Drama, History",6.0,,10956,4.11M,Mira Nair,Naveen Andrews,Sarita Choudhury,Indira Varma,Ramon Tikaram
142,1996,https://www.imdb.com/title/tt0117774/?ref_=adv_li_tt,The Substitute,114,"Action, Crime, Drama",6.0,41.0,14572,14.75M,Robert Mandel,Tom Berenger,Raymond Cruz,William Forsythe,Luis Guzmán
143,1996,https://www.imdb.com/title/tt0117628/?ref_=adv_li_tt,She's the One,96,"Comedy, Drama, Romance",6.0,53.0,18008,9.45M,Edward Burns,Edward Burns,Jennifer Aniston,John Mahoney,Michael McGlone
144,1996,https://www.imdb.com/title/tt0115862/?ref_=adv_li_tt,The Chamber,113,"Crime, Drama, Thriller",6.0,45.0,15685,14.55M,James Foley,Chris O'Donnell,Gene Hackman,Faye Dunaway,Robert Prosky
145,1996,https://www.imdb.com/title/tt0114733/?ref_=adv_li_tt,Tromeo and Juliet,107,"Action, Comedy, Drama",6.0,,6548,,Lloyd Kaufman,Jane Jensen,Will Keenan,Valentine Miele,William Beckwith
146,1996,https://www.imdb.com/title/tt0115644/?ref_=adv_li_tt,Bed of Roses,87,"Drama, Romance",6.0,,8507,19.03M,Michael Goldenberg,Christian Slater,Mary Stuart Masterson,Pamela Adlon,Josh Brolin
147,1996,https://www.imdb.com/title/tt0116502/?ref_=adv_li_tt,Head Above Water,92,"Comedy, Thriller",6.0,,7936,0.03M,Jim Wilson,Harvey Keitel,Cameron Diaz,Craig Sheffer,Billy Zane
148,1996,https://www.imdb.com/title/tt0118040/?ref_=adv_li_tt,Unforgettable,117,"Drama, Mystery, Sci-Fi",6.0,,5699,2.78M,John Dahl,Ray Liotta,Linda Fiorentino,Peter Coyote,Christopher McDonald
149,1996,https://www.imdb.com/title/tt0117658/?ref_=adv_li_tt,The Stendhal Syndrome,113,"Horror, Mystery, Thriller",6.0,42.0,8755,,Dario Argento,Asia Argento,Thomas Kretschmann,Marco Leonardi,Luigi Diberti
150,1996,https://www.imdb.com/title/tt0115710/?ref_=adv_li_tt,Blood and Wine,101,"Crime, Drama, Thriller",6.0,,10383,1.08M,Bob Rafelson,Jack Nicholson,Michael Caine,Stephen Dorff,Jennifer Lopez
151,1996,https://www.imdb.com/title/tt0115693/?ref_=adv_li_tt,Black Mask,99,"Action, Adventure, Comedy",6.0,,11950,12.49M,Daniel Lee,Jet Li,Ching Wan Lau,Karen Mok,Françoise Yip
152,1996,https://www.imdb.com/title/tt0117437/?ref_=adv_li_tt,Raja Hindustani,177,"Action, Comedy, Drama",6.0,,8032,,Dharmesh Darshan,Aamir Khan,Karisma Kapoor,Suresh Oberoi,Johny Lever
153,1996,https://www.imdb.com/title/tt0246729/?ref_=adv_li_tt,Khiladiyon Ka Khiladi,162,"Action, Crime, Drama",6.0,,6180,,Umesh Mehra,Akshay Kumar,Rekha,Raveena Tandon,Deven Verma
154,1996,https://www.imdb.com/title/tt0116493/?ref_=adv_li_tt,Harriet the Spy,100,"Comedy, Drama, Family",5.9,,10607,26.54M,Bronwen Hughes,Michelle Trachtenberg,Rosie O'Donnell,Gregory Smith,Vanessa Chester
155,1996,https://www.imdb.com/title/tt0116040/?ref_=adv_li_tt,Daylight,114,"Action, Adventure, Drama",5.9,47.0,74483,33.02M,Rob Cohen,Sylvester Stallone,Amy Brenneman,Viggo Mortensen,Dan Hedaya
156,1996,https://www.imdb.com/title/tt0116277/?ref_=adv_li_tt,The Fan,116,"Action, Drama, Sport",5.9,32.0,49606,18.57M,Tony Scott,Robert De Niro,Wesley Snipes,Ellen Barkin,John Leguizamo
157,1996,https://www.imdb.com/title/tt0116552/?ref_=adv_li_tt,Homeward Bound II: Lost in San Francisco,88,"Adventure, Comedy, Family",5.9,,15558,49.14M,David R. Ellis,Michael J. Fox,Sally Field,Ralph Waite,Al Michaels
158,1996,https://www.imdb.com/title/tt0116621/?ref_=adv_li_tt,In Love and War,113,"Biography, Drama, Romance",5.9,,8887,14.48M,Richard Attenborough,Sandra Bullock,Chris O'Donnell,Mackenzie Astin,Margot Steinberg
159,1996,https://www.imdb.com/title/tt0115994/?ref_=adv_li_tt,Curdled,88,"Comedy, Crime, Thriller",5.9,,5426,0.05M,Reb Braddock,William Baldwin,Angela Jones,Bruce Ramsay,Lois Chiles
160,1996,https://www.imdb.com/title/tt0116669/?ref_=adv_li_tt,Jack,113,"Comedy, Drama, Fantasy",5.8,31.0,61939,58.62M,Francis Ford Coppola,Robin Williams,Diane Lane,Brian Kerwin,Jennifer Lopez
161,1996,https://www.imdb.com/title/tt0117894/?ref_=adv_li_tt,Thinner,93,"Fantasy, Horror",5.8,33.0,32089,15.17M,Tom Holland,Robert John Burke,Joe Mantegna,Lucinda Jenney,Bethany Joy Lenz
162,1996,https://www.imdb.com/title/tt0115783/?ref_=adv_li_tt,Bulletproof,84,"Action, Comedy, Crime",5.8,30.0,39117,21.16M,Ernest R. Dickerson,Damon Wayans,Adam Sandler,James Caan,Jeep Swenson
163,1996,https://www.imdb.com/title/tt0118073/?ref_=adv_li_tt,A Very Brady Sequel,90,Comedy,5.8,56.0,11291,21.40M,Arlene Sanford,Shelley Long,Gary Cole,Tim Matheson,Christopher Daniel Barnes
164,1996,https://www.imdb.com/title/tt0117608/?ref_=adv_li_tt,Sgt. Bilko,93,Comedy,5.8,47.0,23237,30.36M,Jonathan Lynn,Steve Martin,Dan Aykroyd,Phil Hartman,Glenne Headly
165,1996,https://www.imdb.com/title/tt0115610/?ref_=adv_li_tt,Bad Moon,80,"Horror, Thriller",5.8,,7346,1.06M,Eric Red,Mariel Hemingway,Michael Paré,Mason Gamble,Ken Pogue
166,1996,https://www.imdb.com/title/tt0116508/?ref_=adv_li_tt,Heaven's Prisoners,132,"Drama, Mystery, Thriller",5.8,,5560,5.01M,Phil Joanou,Alec Baldwin,Kelly Lynch,Mary Stuart Masterson,Eric Roberts
167,1996,https://www.imdb.com/title/tt0117002/?ref_=adv_li_tt,Mary Reilly,108,"Drama, Horror, Romance",5.8,44.0,15349,5.71M,Stephen Frears,Julia Roberts,John Malkovich,George Cole,Michael Gambon
168,1996,https://www.imdb.com/title/tt0115433/?ref_=adv_li_tt,101 Dalmatians,103,"Adventure, Comedy, Crime",5.7,49.0,113650,136.19M,Stephen Herek,Glenn Close,Jeff Daniels,Joely Richardson,Joan Plowright
169,1996,https://www.imdb.com/title/tt0117218/?ref_=adv_li_tt,The Nutty Professor,95,"Comedy, Romance, Sci-Fi",5.7,62.0,119997,128.81M,Tom Shadyac,Eddie Murphy,Jada Pinkett Smith,James Coburn,Larry Miller
170,1996,https://www.imdb.com/title/tt0116225/?ref_=adv_li_tt,Escape from L.A.,101,"Action, Adventure, Sci-Fi",5.7,54.0,77157,25.48M,John Carpenter,Kurt Russell,Steve Buscemi,Stacy Keach,A.J. Langer
171,1996,https://www.imdb.com/title/tt0116705/?ref_=adv_li_tt,Jingle All the Way,89,"Adventure, Comedy, Family",5.7,34.0,108895,60.57M,Brian Levant,Arnold Schwarzenegger,Sinbad,Phil Hartman,Rita Wilson
172,1996,https://www.imdb.com/title/tt0116571/?ref_=adv_li_tt,House Arrest,108,"Comedy, Family",5.7,,8952,6.97M,Harry Winer,Jamie Lee Curtis,Kevin Pollak,Kyle Howard,Herbert Russell
173,1996,https://www.imdb.com/title/tt0117038/?ref_=adv_li_tt,Michael,105,"Comedy, Drama, Fantasy",5.7,38.0,44049,95.32M,Nora Ephron,John Travolta,Andie MacDowell,William Hurt,Bob Hoskins
174,1996,https://www.imdb.com/title/tt0116731/?ref_=adv_li_tt,The Juror,118,"Crime, Drama, Thriller",5.7,,19282,22.75M,Brian Gibson,Demi Moore,Alec Baldwin,Joseph Gordon-Levitt,James Gandolfini
175,1996,https://www.imdb.com/title/tt0115493/?ref_=adv_li_tt,Alaska,109,"Adventure, Family",5.7,,5640,11.57M,Fraser C. Heston,Thora Birch,Vincent Kartheiser,Dirk Benedict,Charlton Heston
176,1996,https://www.imdb.com/title/tt0117372/?ref_=adv_li_tt,The Preacher's Wife,123,"Comedy, Drama, Fantasy",5.7,,12934,48.10M,Penny Marshall,Denzel Washington,Whitney Houston,Courtney B. Vance,Gregory Hines
177,1996,https://www.imdb.com/title/tt0117965/?ref_=adv_li_tt,The Trigger Effect,94,"Drama, Thriller",5.7,66.0,7919,3.59M,David Koepp,Kyle MacLachlan,Elisabeth Shue,Dermot Mulroney,Richard T. Jones
178,1996,https://www.imdb.com/title/tt0115857/?ref_=adv_li_tt,Chain Reaction,107,"Action, Drama, Sci-Fi",5.6,43.0,53782,20.55M,Andrew Davis,Keanu Reeves,Morgan Freeman,Rachel Weisz,Fred Ward
179,1996,https://www.imdb.com/title/tt0117420/?ref_=adv_li_tt,The Quest,95,"Action, Adventure, Drama",5.6,,26880,21.60M,Jean-Claude Van Damme,Jean-Claude Van Damme,Roger Moore,James Remar,Janet Gunn
180,1996,https://www.imdb.com/title/tt0117891/?ref_=adv_li_tt,A Thin Line Between Love and Hate,108,"Comedy, Crime, Drama",5.6,,5137,34.75M,Martin Lawrence,Martin Lawrence,Lynn Whitfield,Regina King,Bobby Brown
181,1996,https://www.imdb.com/title/tt0116823/?ref_=adv_li_tt,Larger Than Life,93,"Comedy, Family",5.6,43.0,7586,8.29M,Howard Franklin,Bill Murray,Matthew McConaughey,Jerry Adler,Richard Alan Baker
182,1996,https://www.imdb.com/title/tt0116707/?ref_=adv_li_tt,Joe's Apartment,80,"Comedy, Fantasy, Musical",5.5,,13789,4.61M,John Payson,Jerry O'Connell,Megan Ward,Billy West,Reginald Hudlin
183,1996,https://www.imdb.com/title/tt0117011/?ref_=adv_li_tt,Maximum Risk,101,"Action, Thriller",5.5,,22957,14.50M,Ringo Lam,Jean-Claude Van Damme,Natasha Henstridge,Jean-Hugues Anglade,Zach Grenier
184,1996,https://www.imdb.com/title/tt0116448/?ref_=adv_li_tt,The Great White Hype,91,"Comedy, Sport",5.5,,10427,7.87M,Reginald Hudlin,Samuel L. Jackson,Jeff Goldblum,Damon Wayans,Peter Berg
185,1996,https://www.imdb.com/title/tt0116531/?ref_=adv_li_tt,High School High,86,"Comedy, Crime, Romance",5.5,33.0,13745,20.95M,Hart Bochner,Jon Lovitz,Tia Carrere,Louise Fletcher,Mekhi Phifer
186,1996,https://www.imdb.com/title/tt0115509/?ref_=adv_li_tt,All Dogs Go to Heaven 2,82,"Animation, Adventure, Family",5.5,,6311,8.62M,Larry Leker,Paul Sabella,Charlie Sheen,Sheena Easton,Dom DeLuise
187,1996,https://www.imdb.com/title/tt0120199/?ref_=adv_li_tt,Space Truckers,95,"Adventure, Comedy, Sci-Fi",5.4,,8164,,Stuart Gordon,Tim Loane,Ian Beattie,Olwen Fouéré,Shane Rimmer
188,1996,https://www.imdb.com/title/tt0117826/?ref_=adv_li_tt,Bordello of Blood,87,"Comedy, Fantasy, Horror",5.4,36.0,15226,5.59M,Gilbert Adler,Dennis Miller,Erika Eleniak,Angie Everhart,Chris Sarandon
189,1996,https://www.imdb.com/title/tt0116000/?ref_=adv_li_tt,D3: The Mighty Ducks,104,"Action, Comedy, Drama",5.4,,27713,22.94M,Robert Lieberman,Emilio Estevez,Jeffrey Nordling,David Selby,Heidi Kling
190,1996,https://www.imdb.com/title/tt0116095/?ref_=adv_li_tt,Diabolique,107,"Drama, Horror, Mystery",5.4,,14824,17.10M,Jeremiah S. Chechik,Sharon Stone,Isabelle Adjani,Chazz Palminteri,Kathy Bates
191,1996,https://www.imdb.com/title/tt0116289/?ref_=adv_li_tt,Feeling Minnesota,99,"Comedy, Crime, Drama",5.4,30.0,11301,3.10M,Steven Baigelman,Keanu Reeves,Vincent D'Onofrio,Cameron Diaz,Delroy Lindo
192,1996,https://www.imdb.com/title/tt0116421/?ref_=adv_li_tt,The Glimmer Man,91,"Action, Comedy, Crime",5.4,33.0,20643,20.10M,John Gray,Steven Seagal,Keenen Ivory Wayans,Bob Gunton,Brian Cox
193,1996,https://www.imdb.com/title/tt0116320/?ref_=adv_li_tt,Fled,98,"Action, Adventure, Crime",5.4,,9326,17.10M,Kevin Hooks,Laurence Fishburne,Stephen Baldwin,Will Patton,Robert John Burke
194,1996,https://www.imdb.com/title/tt0116151/?ref_=adv_li_tt,Dunston Checks In,88,"Adventure, Comedy, Family",5.3,54.0,12954,9.87M,Ken Kwapis,Jason Alexander,Faye Dunaway,Eric Lloyd,Rupert Everett
195,1996,https://www.imdb.com/title/tt0117723/?ref_=adv_li_tt,Spy Hard,81,"Action, Comedy",5.3,25.0,38951,29.00M,Rick Friedberg,Leslie Nielsen,Nicollette Sheridan,Charles Durning,Marcia Gay Harden
196,1996,https://www.imdb.com/title/tt0116322/?ref_=adv_li_tt,Flipper,95,"Adventure, Family",5.3,43.0,11301,20.05M,Alan Shapiro,Shelly Hatton,Paul Hogan,Elijah Wood,Jonathan Banks
197,1996,https://www.imdb.com/title/tt0116075/?ref_=adv_li_tt,The Dentist,92,"Horror, Thriller",5.3,,9851,,Brian Yuzna,Corbin Bernsen,Linda Hoffman,Michael Stadvec,Ken Foree
198,1996,https://www.imdb.com/title/tt0116414/?ref_=adv_li_tt,Girl 6,108,"Comedy, Drama",5.3,44.0,6489,4.90M,Spike Lee,Theresa Randle,Isaiah Washington,Spike Lee,Jenifer Lewis
199,1996,https://www.imdb.com/title/tt0115851/?ref_=adv_li_tt,Celtic Pride,91,"Comedy, Sport",5.3,34.0,10295,9.26M,Tom DeCerchio,Damon Wayans,Daniel Stern,Dan Aykroyd,Gail O'Grady
200,1996,https://www.imdb.com/title/tt0115725/?ref_=adv_li_tt,Bogus,110,"Comedy, Family, Fantasy",5.3,,6834,4.36M,Norman Jewison,Whoopi Goldberg,Gérard Depardieu,Haley Joel Osment,Andrea Martin
201,1996,https://www.imdb.com/title/tt0116311/?ref_=adv_li_tt,First Kid,101,"Comedy, Family",5.2,48.0,11193,26.46M,David Mickey Evans,Sinbad,Brock Pierce,Blake Boyd,Timothy Busfield
202,1996,https://www.imdb.com/title/tt0115472/?ref_=adv_li_tt,The Adventures of Pinocchio,96,"Adventure, Drama, Family",5.2,,6089,15.09M,Steve Barron,Martin Landau,Jonathan Taylor Thomas,Geneviève Bujold,Udo Kier
203,1996,https://www.imdb.com/title/tt0116168/?ref_=adv_li_tt,Eddie,100,"Comedy, Sport",5.2,,11203,31.36M,Steve Rash,Whoopi Goldberg,Frank Langella,Dennis Farina,Richard Jenkins
204,1996,https://www.imdb.com/title/tt0118002/?ref_=adv_li_tt,Two If by Sea,96,"Comedy, Crime, Romance",5.2,30.0,6127,10.70M,Bill Bennett,Sandra Bullock,Denis Leary,Stephen Dillane,Yaphet Kotto
205,1996,https://www.imdb.com/title/tt0117331/?ref_=adv_li_tt,The Phantom,100,"Action, Adventure, Comedy",5.0,53.0,34770,17.30M,Simon Wincer,Billy Zane,Kristy Swanson,Treat Williams,Catherine Zeta-Jones
206,1996,https://www.imdb.com/title/tt0116514/?ref_=adv_li_tt,Hellraiser: Bloodline,85,"Horror, Sci-Fi",5.0,21.0,23162,16.68M,Kevin Yagher,Bruce Ramsay,Valentina Vargas,Doug Bradley,Charlotte Chatton
207,1996,https://www.imdb.com/title/tt0117283/?ref_=adv_li_tt,The Pallbearer,98,"Comedy, Romance",5.0,,11294,5.61M,Matt Reeves,David Schwimmer,Gwyneth Paltrow,Michael Rapaport,Toni Collette
208,1996,https://www.imdb.com/title/tt0115836/?ref_=adv_li_tt,Carpool,89,Comedy,5.0,15.0,5077,3.31M,Arthur Hiller,Tom Arnold,David Paymer,Rhea Perlman,Rod Steiger
209,1996,https://www.imdb.com/title/tt0115676/?ref_=adv_li_tt,Big Bully,90,"Comedy, Thriller",4.7,,5311,4.09M,Steve Miner,Rick Moranis,Tom Arnold,Julianne Phillips,Carol Kane
210,1996,https://www.imdb.com/title/tt0115986/?ref_=adv_li_tt,The Crow: City of Angels,84,"Action, Crime, Fantasy",4.6,,20862,17.88M,Tim Pope,Vincent Perez,Mia Kirshner,Richard Brooks,Iggy Pop
211,1996,https://www.imdb.com/title/tt0117765/?ref_=adv_li_tt,Striptease,115,"Comedy, Crime, Drama",4.5,37.0,46650,33.11M,Andrew Bergman,Demi Moore,Burt Reynolds,Armand Assante,Ving Rhames
212,1996,https://www.imdb.com/title/tt0116654/?ref_=adv_li_tt,The Island of Dr. Moreau,96,"Horror, Sci-Fi, Thriller",4.5,37.0,34322,27.66M,John Frankenheimer,Richard Stanley,David Thewlis,Marlon Brando,Val Kilmer
213,1996,https://www.imdb.com/title/tt0115683/?ref_=adv_li_tt,Bio-Dome,88,Comedy,4.4,1.0,28492,26.76M,Jason Bloom,Pauly Shore,Stephen Baldwin,William Atherton,Denise Dowse
214,1996,https://www.imdb.com/title/tt0114151/?ref_=adv_li_tt,Poison Ivy II,106,"Drama, Thriller",4.4,,6117,,Anne Goursaud,Alyssa Milano,Johnathon Schaech,Xander Berkeley,Belinda Bauer
215,1996,https://www.imdb.com/title/tt0117768/?ref_=adv_li_tt,The Stupids,94,"Adventure, Comedy",4.3,,6976,2.42M,John Landis,Tom Arnold,Jessica Lundy,Bug Hall,Alex McKenna
216,1996,https://www.imdb.com/title/tt0117102/?ref_=adv_li_tt,Mr. Wrong,96,Comedy,3.8,,5236,12.35M,Nick Castle,Ellen DeGeneres,Bill Pullman,Joan Cusack,Dean Stockwell
217,1996,https://www.imdb.com/title/tt0115624/?ref_=adv_li_tt,Barb Wire,98,"Action, Sci-Fi",3.5,40.0,30063,3.79M,David Hogan,Pamela Anderson,Amir AboulEla,Adriana Alexander,David Andriole
218,1996,https://www.imdb.com/title/tt0116756/?ref_=adv_li_tt,Kazaam,93,"Comedy, Family, Fantasy",3.1,24.0,24889,18.88M,Paul Michael Glaser,Shaquille O'Neal,Francis Capra,Ally Walker,James Acheson
219,1996,https://www.imdb.com/title/tt0116165/?ref_=adv_li_tt,Ed,94,"Comedy, Family, Sport",2.7,25.0,8659,6.29M,Bill Couturié,Matt LeBlanc,Jayne Brook,Gene Ross,Paul Hewitt
220,1996,https://www.imdb.com/title/tt0117550/?ref_=adv_li_tt,Santa with Muscles,97,Comedy,2.6,,9241,0.22M,John Murlowski,Hulk Hogan,Don Stark,Robin Curtis,Garrett Morris
221,1996,https://www.imdb.com/title/tt0116839/?ref_=adv_li_tt,Lawnmower Man 2: Beyond Cyberspace,93,"Action, Sci-Fi, Thriller",2.5,29.0,9810,2.41M,Farhad Mann,Patrick Bergin,Matt Frewer,Austin O'Brien,Ely Pouget
1,1997,https://www.imdb.com/title/tt0118799/?ref_=adv_li_tt,Life Is Beautiful,116,"Comedy, Drama, Romance",8.6,59.0,707128,57.60M,Roberto Benigni,Roberto Benigni,Nicoletta Braschi,Giorgio Cantarini,Giustino Durano
2,1997,https://www.imdb.com/title/tt0119385/?ref_=adv_li_tt,Iruvar,140,"Biography, Drama",8.4,,6425,,Mani Ratnam,Mohanlal,Aishwarya Rai Bachchan,Prakash Raj,Gautami
3,1997,https://www.imdb.com/title/tt0119217/?ref_=adv_li_tt,Good Will Hunting,126,"Drama, Romance",8.3,70.0,995380,138.43M,Gus Van Sant,Robin Williams,Matt Damon,Ben Affleck,Stellan Skarsgård
4,1997,https://www.imdb.com/title/tt0119698/?ref_=adv_li_tt,Princess Mononoke,134,"Animation, Action, Adventure",8.3,76.0,403605,2.38M,Hayao Miyazaki,Yôji Matsuda,Yuriko Ishida,Yûko Tanaka,Billy Crudup
5,1997,https://www.imdb.com/title/tt0119488/?ref_=adv_li_tt,L.A. Confidential,138,"Crime, Drama, Mystery",8.2,91.0,590545,64.62M,Curtis Hanson,Kevin Spacey,Russell Crowe,Guy Pearce,Kim Basinger
6,1997,https://www.imdb.com/title/tt0118849/?ref_=adv_li_tt,Children of Heaven,89,"Drama, Family, Sport",8.2,77.0,76238,0.93M,Majid Majidi,Mohammad Amir Naji,Amir Farrokh Hashemian,Bahare Seddiqi,Nafise Jafar-Mohammadi
7,1997,https://www.imdb.com/title/tt0169858/?ref_=adv_li_tt,Neon Genesis Evangelion: The End of Evangelion,87,"Animation, Action, Drama",8.1,,57847,,Hideaki Anno,Kazuya Tsurumaki,Megumi Ogata,Megumi Hayashibara,Yûko Miyamura
8,1997,https://www.imdb.com/title/tt0128332/?ref_=adv_li_tt,Innocence,110,Drama,8.1,,18201,,Zeki Demirkubuz,Güven Kiraç,Haluk Bilginer,Derya Alabora,Yalcin Cakmak
9,1997,https://www.imdb.com/title/tt0156887/?ref_=adv_li_tt,Perfect Blue,81,"Animation, Crime, Drama",8.0,67.0,82196,0.78M,Satoshi Kon,Junko Iwao,Rica Matsumoto,Shinpachi Tsuji,Masaaki Ôkura
10,1997,https://www.imdb.com/title/tt0120338/?ref_=adv_li_tt,Titanic,194,"Drama, Romance",7.9,75.0,1212449,659.33M,James Cameron,Leonardo DiCaprio,Kate Winslet,Billy Zane,Kathy Bates
11,1997,https://www.imdb.com/title/tt0118749/?ref_=adv_li_tt,Boogie Nights,155,Drama,7.9,85.0,271344,26.40M,Paul Thomas Anderson,Mark Wahlberg,Julianne Moore,Burt Reynolds,Luis Guzmán
12,1997,https://www.imdb.com/title/tt0118751/?ref_=adv_li_tt,Border,176,"Action, Drama, History",7.9,,16719,,J.P. Dutta,Sunny Deol,Suniel Shetty,Akshaye Khanna,Jackie Shroff
13,1997,https://www.imdb.com/title/tt0119177/?ref_=adv_li_tt,Gattaca,106,"Drama, Sci-Fi, Thriller",7.8,64.0,310609,12.34M,Andrew Niccol,Ethan Hawke,Uma Thurman,Jude Law,Gore Vidal
